Plot_ID,Block,Stratum,Year,Easting_UTM37S,Northing_UTM37S,Latitude,Longitude
P0001,1011,Early Restoration,2020,546813.942679846,9512752.501075523,-4.408073870946406,39.421941113252764
P0002,1011,Early Restoration,2020,546713.942679846,9512452.501075523,-4.410788341693772,39.42104134231903
P0003,1011,Early Restoration,2020,546813.942679846,9513052.501075523,-4.405359911825334,39.42193958325838
P0004,1011,Early Restoration,2020,547013.942679846,9512552.501075523,-4.409882150195813,39.42374473503909
P0005,1011,Early Restoration,2020,546613.942679846,9512652.501075523,-4.408979546076611,39.42013902395799
P0006,1011,Early Restoration,2020,546613.942679846,9512952.501075523,-4.406265586390089,39.420137500183685
P0007,1012,Early Restoration,2020,547053.8551839337,9511819.622432264,-4.416511950687834,39.424108229039575
P0008,1012,Early Restoration,2020,546953.8551839337,9512319.622432264,-4.411989202264135,39.423204358481854
P0009,1012,Early Restoration,2020,547053.8551839337,9512119.622432264,-4.413797992945241,39.42410668823091
P0010,1012,Early Restoration,2020,546853.8551839337,9512119.622432264,-4.413799021455748,39.422304077612175
P0011,1012,Early Restoration,2020,546753.8551839337,9512319.622432264,-4.411990228162061,39.42140175201469
P0012,1013,Early Restoration,2020,546490.8535879254,9512204.197200911,-4.4130357686547725,39.4190318948634
P0013,1013,Early Restoration,2020,546690.8535879254,9511904.197200911,-4.415748707221391,39.4208360330591
P0014,1013,Early Restoration,2020,546590.8535879254,9511704.197200911,-4.417558524340935,39.41993574251521
P0015,1013,Early Restoration,2020,546390.8535879254,9512004.197200911,-4.414845583820634,39.41813160238714
P0016,1013,Early Restoration,2020,546390.8535879254,9511804.197200911,-4.416654890349521,39.418132615257704
P0017,1013,Early Restoration,2020,546690.8535879254,9512104.197200911,-4.413939401277588,39.42083501385002
P0018,1013,Early Restoration,2020,546390.8535879254,9511604.197200911,-4.418464196790068,39.41813362854736
P0019,1014,Early Restoration,2020,546777.1875414384,9511498.802820783,-4.419415676795305,39.421616238820675
P0020,1014,Early Restoration,2020,546677.1875414384,9511098.802820783,-4.423034800543685,39.42071696728967
P0021,1014,Early Restoration,2020,546977.1875414384,9511498.802820783,-4.419414648652466,39.42341886315791
P0022,1014,Early Restoration,2020,546877.1875414384,9511798.802820783,-4.416701205181218,39.42251601499915
P0023,1014,Early Restoration,2020,546777.1875414384,9511298.802820783,-4.4212249822898135,39.42161726119335
P0024,1014,Early Restoration,2020,546477.1875414384,9510998.802820783,-4.423940475932032,39.41891484185131
P0025,1015,Early Restoration,2021,546338.8268076453,9510689.999439599,-4.426734780123254,39.417669337036116
P0026,1015,Early Restoration,2021,546438.8268076453,9510489.999439599,-4.428543576408843,39.418571675237324
P0027,1015,Early Restoration,2021,546138.8268076453,9510289.999439599,-4.43035440880979,39.415868714301205
P0028,1015,Early Restoration,2021,546438.8268076453,9510889.999439599,-4.424924964625472,39.418569642307425
P0029,1015,Early Restoration,2021,546138.8268076453,9510489.999439599,-4.428545102425094,39.41586770377687
P0030,1016,Early Restoration,2021,546185.1846255828,9511293.018624598,-4.421280328065426,39.41628148066657
P0031,1016,Early Restoration,2021,546385.1846255828,9511093.018624598,-4.423088618702849,39.41808512498367
P0032,1016,Early Restoration,2021,546385.1846255828,9511293.018624598,-4.421279312476392,39.418084110746754
P0033,1016,Early Restoration,2021,545885.1846255828,9510393.018624598,-4.429423725221899,39.41358205290209
P0034,1016,Early Restoration,2021,545985.1846255828,9510793.018624598,-4.425804606748187,39.41448136467678
P0035,1016,Early Restoration,2021,546085.1846255828,9511093.018624598,-4.4230901410660115,39.41538117314773
P0036,1016,Early Restoration,2021,545985.1846255828,9510593.018624598,-4.427613913586017,39.414482371206894
P0037,1016,Early Restoration,2021,546585.1846255828,9511393.018624598,-4.420373639562455,39.41988623126089
P0038,1016,Early Restoration,2021,545785.1846255828,9510593.018624598,-4.427614921846595,39.412679724981544
P0039,1016,Early Restoration,2021,546185.1846255828,9510793.018624598,-4.425803594508681,39.41628400610942
P0040,1019,Recent Restoration,2023,545704.8157828416,9509363.189146338,-4.438741021808908,39.41196150255612
P0041,1019,Recent Restoration,2023,545504.8157828416,9509263.189146338,-4.439646680045362,39.41015932822187
P0042,1019,Recent Restoration,2023,544704.8157828416,9509463.189146338,-4.437841346451851,39.40294763911234
P0043,1019,Recent Restoration,2023,544904.8157828416,9509163.189146338,-4.44055432230583,39.404751790838496
P0044,1019,Recent Restoration,2023,545004.8157828416,9509363.189146338,-4.438744518733766,39.405652142598356
P0045,1019,Recent Restoration,2023,545104.8157828416,9509163.189146338,-4.440553330488271,39.40655447021756
P0046,1020,Recent Restoration,2023,544456.6883976343,9509391.324281642,-4.438492693469314,39.40071152617704
P0047,1020,Recent Restoration,2023,544656.6883976343,9509191.324281642,-4.440301020915004,39.40251518173707
P0048,1020,Recent Restoration,2023,544456.6883976343,9509191.324281642,-4.440302002801029,39.400712502069105
P0049,1020,Recent Restoration,2023,544456.6883976343,9508991.324281642,-4.442111312043955,39.40071347836286
P0050,10171,Early Restoration,2021,545799.7536568758,9510476.617372308,-4.428667876639044,39.41281162267719
P0051,10171,Early Restoration,2021,545599.7536568758,9510376.617372308,-4.429573534822804,39.41100947284145
P0052,10171,Early Restoration,2021,545599.7536568758,9510176.617372308,-4.431382842271691,39.41101047179369
P0053,10171,Early Restoration,2021,545799.7536568758,9510276.617372308,-4.430477183720301,39.41281262580354
P0054,10171,Early Restoration,2021,545999.7536568758,9510576.617372308,-4.427762214450589,39.41461376782338
